name	abbv	tipping_point_rank	safe_for	safe_rank	leans
Alabama	AL		Trump	3	
Alaska	AK		Trump	16	
Arizona	AZ		Trump	23	
Arkansas	AR		Trump	10	
California	CA		Clinton	5	
Colorado	CO	6		21	Clinton
Connecticut	CT		Clinton	10	
Delaware	DE		Clinton	12	
District of Columbia	DC		Clinton	1	
Florida	FL	1		27	Trump
Georgia	GA	13	Trump	22	
Hawaii	HI		Clinton	2	
Idaho	ID		Trump	4	
Illinois	IL		Clinton	8	
Indiana	IN		Trump	15	
Iowa	IA	12		24	Trump
Kansas	KS		Trump	17	
Kentucky	KY		Trump	8	
Louisiana	LA		Trump	11	
Maine	ME		Clinton	16	
Maryland	MD		Clinton	3	
Massachusetts	MA		Clinton	6	
Michigan	MI	3		19	Clinton
Minnesota	MN	10		15	Clinton
Mississippi	MS		Trump	13	
Missouri	MO		Trump	21	
Montana	MT		Trump	18	
Nebraska	NE		Trump	9	
Nevada	NV	9		23	Clinton
New Hampshire	NH	11		22	Clinton
New Jersey	NJ	14	Clinton	14	
New Mexico	NM			15	Clinton
New York	NY		Clinton	7	
North Carolina	NC	5		26	Trump
North Dakota	ND		Trump	5	
Ohio	OH	4		25	Trump
Oklahoma	OK		Trump	2	
Oregon	OR		Clinton	11	
Pennsylvania	PA	2		20	Clinton
Rhode Island	RI		Clinton	13	
South Carolina	SC		Trump	20	
South Dakota	SD		Trump	14	
Tennessee	TN		Trump	7	
Texas	TX		Trump	19	
Utah	UT		Trump	12	
Vermont	VT		Clinton	4	
Virginia	VA	7		17	Clinton
Washington	WA		Clinton	9	
West Virginia	WV		Trump	6	
Wisconsin	WI	8		18	Clinton
Wyoming	WY		Trump	1	
